b'AITFC,10725735,34.3562,-119.9127,6650,3519,1,154,275,N335LL,,,,,1593034599'
b'AITFC,10924316,32.3234,-106.7365,4400,-384,1,85,39,N530H,AS50,N530H,,,1593034607'
b'AITFC,10924316,32.3234,-106.7365,4400,-384,1,85,39,N530H,AS50,N530H,,,1593034607'
b'AITFC,10954663,32.8143,-116.8149,14224,-767,1,196,146,N560HP,P46T,N560HP,SEE,,1593034598'
b'AITFC,10954663,32.8143,-116.8149,14224,-767,1,196,146,N560HP,P46T,N560HP,SEE,,1593034598'
b'AITFC,10823522,32.8422,-116.7720,5500,192,1,94,89,N431FR,C172,N431FR,SEE,,1593034599'
b'AITFC,10823522,32.8422,-116.7720,5500,192,1,94,89,N431FR,C172,N431FR,SEE,,1593034599'
b'AITFC,10966779,32.7334,-117.1789,100,192,1,106,2,N572MS,GLF4,N572MS,,,1593034606'
b'AITFC,10966779,32.7334,-117.1789,100,192,1,106,2,N572MS,GLF4,N572MS,,,1593034606'
b'AITFC,10586042,33.9397,-118.4065,0,0,1,140,0,AAL0013,A321,N198UW,LAX,,1593034599'
b'AITFC,10586042,33.9397,-118.4065,0,0,1,140,0,AAL0013,A321,N198UW,LAX,,1593034599'
b'AITFC,11208255,33.9235,-118.3351,0,0,1,180,0,N8094Q,R22,N8094Q,HHR,,1593034599'
b'AITFC,11208255,33.9235,-118.3351,0,0,1,180,0,N8094Q,R22,N8094Q,HHR,,1593034599'
b'AITFC,11136405,33.4034,-117.1906,4325,1151,1,198,97,N739MH,,,,,1593034598'
b'AITFC,11136405,33.4034,-117.1906,4325,1151,1,198,97,N739MH,,,,,1593034598'
b'AITFC,11011727,34.2192,-118.4943,925,0,1,267,0,SIS616,GLF4,N616RR,,,1593034584'
b'AITFC,11011727,34.2192,-118.4943,925,0,1,267,0,SIS616,GLF4,N616RR,,,1593034584'
b'AITFC,10488836,34.4870,-119.6440,6600,-64,1,273,110,N1019F,C172,N1019F,WHP,,1593034598'
b'AITFC,10488836,34.4870,-119.6440,6600,-64,1,273,110,N1019F,C172,N1019F,WHP,,1593034598'
b'AITFC,10772170,33.8721,-117.9774,0,0,1,67,24,N3808R,P28A,N3808R,PSP,,1593034598'
b'AITFC,10772170,33.8721,-117.9774,0,0,1,67,24,N3808R,P28A,N3808R,PSP,,1593034598'
b'AITFC,10946292,33.3555,-117.2515,800,64,1,180,1,N552BB,,N552BB,,,1593034595'
b'AITFC,10946292,33.3555,-117.2515,800,64,1,180,1,N552BB,,N552BB,,,1593034595'
b'AITFC,10876252,33.1286,-116.5641,7600,-64,1,71,105,N483SP,C172,N483SP,SEE,,1593034599'
b'AITFC,10876252,33.1286,-116.5641,7600,-64,1,71,105,N483SP,C172,N483SP,SEE,,1593034599'
b'AITFC,11318864,34.2725,-118.9719,3500,0,1,331,100,N918VT,C172,N918VT,,,1593034586'
b'AITFC,11318864,34.2725,-118.9719,3500,0,1,331,100,N918VT,C172,N918VT,,,1593034586'
b'AITFC,11311168,34.2091,-118.4891,900,768,1,176,84,N910SE,C172,N910SE,VNY,,1593034595'
b'AITFC,11311168,34.2091,-118.4891,900,768,1,176,84,N910SE,C172,N910SE,VNY,,1593034595'
b'AITFC,11356213,34.2608,-117.9743,5100,-384,1,130,117,N955LA,AS50,N955LA,WJF,,1593034599'
b'AITFC,11356213,34.2608,-117.9743,5100,-384,1,130,117,N955LA,AS50,N955LA,WJF,,1593034599'
b'AITFC,10730426,33.7615,-117.5903,3874,383,1,318,55,N34HX,AS50,N34HX,,,1593034599'
b'AITFC,10730426,33.7615,-117.5903,3874,383,1,318,55,N34HX,AS50,N34HX,,,1593034599'
b'AITFC,11169961,33.7316,-118.3653,1100,-128,1,294,88,N772CB,R44,N772CB,LGB,,1593034575'
b'AITFC,11169961,33.7316,-118.3653,1100,-128,1,294,88,N772CB,R44,N772CB,LGB,,1593034575'
b'AITFC,10837485,35.2984,-120.6410,3050,-1023,1,207,136,N445HP,BT36,N445HP,VIS,,1593034552'
b'AITFC,10837485,35.2984,-120.6410,3050,-1023,1,207,136,N445HP,BT36,N445HP,VIS,,1593034552'
b'AITFC,10964021,33.5732,-117.6781,2600,-127,1,263,93,N57BM,,,,,1593034599'
b'AITFC,10964021,33.5732,-117.6781,2600,-127,1,263,93,N57BM,,,,,1593034599'
b'AITFC,10841392,34.2613,-118.4100,1100,0,1,53,0,N449MS,R44,N449MS,,,1593034606'
b'AITFC,10841392,34.2613,-118.4100,1100,0,1,53,0,N449MS,R44,N449MS,,,1593034606'
b'AITFC,8836746,33.9398,-118.3803,0,0,1,236,14,JAL6723,B788,JA828J,LAX,NRT,1593034600'
b'AITFC,8836746,33.9398,-118.3803,0,0,1,236,14,JAL6723,B788,JA828J,LAX,NRT,1593034600'
