(1553203752.434297, ':', 'AITFC,794641,19.4242,-99.0822,0,0,1,298,20,CMP135,B738,HP-1522CMP,MEX,PTY')
(1553203752.434667, ':', 'AITFC,10912964,19.5950,-98.7831,15550,2112,1,58,330,VOI186,A320,N519VL,MEX,MTY')
(1553203762.153253, ':', 'AITFC,10918260,19.5153,-99.1225,22550,-2304,1,325,334,TPU960,A319,N524TA,LIM,MEX')
(1553203762.153512, ':', 'AITFC,854471,19.4383,-99.0754,0,0,1,239,19,VIV3283,A320,XA-VAZ,MZT,MEX')
(1553203762.153742, ':', 'AITFC,15205156,19.4459,-99.0690,0,0,1,12,0,,A319,CC-AMP,MEX,')
(1553203762.153967, ':', 'AITFC,854518,19.4379,-99.0659,0,0,1,140,22,SLI444,E190,XA-ALQ,CUN,MEX')
(1553203762.154117, ':', 'AITFC,853750,20.6104,-97.6340,38000,0,1,273,382,SLI2655,E190,XA-ACN,PUJ,MEX')
(1553203762.154366, ':', 'AITFC,0,18.9001,-99.4175,14525,-832,1,316,291,LJ75,LJ75,,,')
(1553203762.154606, ':', 'AITFC,854478,19.5596,-99.2274,11425,-1664,1,183,203,VIV3263,A320,XA-VAU,TRC,MEX')
(1553203762.154812, ':', 'AITFC,0,19.3351,-99.5692,0,0,1,180,0,LJ75,LJ75,,,')
(1553203762.155019, ':', 'AITFC,854501,19.7501,-99.3642,16550,-1472,1,209,275,AMX015,B789,XA-ADC,GRU,MEX')
(1553203762.155215, ':', 'AITFC,0,18.7033,-98.7939,26342,1152,1,131,410,BE40,BE40,,,')
(1553203762.155399, ':', 'AITFC,11222467,19.4249,-99.0898,7525,-832,1,59,152,UAL1090,A319,N823UA,IAH,MEX')
(1553203762.155597, ':', 'AITFC,854371,19.4322,-99.0868,0,0,1,257,0,VIV3147,A320,XA-VAP,CUN,MEX')
(1553203762.155778, ':', 'AITFC,854860,20.3192,-99.7937,28875,-1856,1,128,475,AIJ2800,A21N,XA-PGA,SJD,MEX')
(1553203762.155996, ':', 'AITFC,10929382,19.8397,-99.1528,15150,-1536,1,130,290,VOI785,A21N,N535VL,PVR,MEX')
(1553203762.156165, ':', 'AITFC,170,17.9791,-99.0225,29025,0,1,198,368,WST717,0000,00000000,,')
(1553203762.156361, ':', 'AITFC,853873,20.4354,-98.2396,29550,1536,1,10,483,AMX924,B738,XA-AME,MEX,MTY')
(1553203762.156562, ':', 'AITFC,0,19.5566,-100.1822,41000,0,1,111,485,BLOCKED,,,,')
(1553203762.156747, ':', 'AITFC,854749,19.6533,-99.1797,12700,-1152,1,205,266,AIJ2521,A21N,XA-RLM,MID,MEX')
(1553203762.156926, ':', 'AITFC,854650,19.3946,-99.1439,8300,-1024,1,59,166,SLI2687,E190,XA-AEF,AUS,MEX')
(1553203762.15711, ':', 'AITFC,11152010,20.1829,-98.1074,31500,1792,1,16,536,,B737,N754SW,MEX,HOU')
(1553203762.157287, ':', 'AITFC,854565,19.5303,-98.5629,15525,960,1,90,231,TAO657,AT76,XA-UYM,MEX,VER')
(1553203762.157453, ':', 'AITFC,10931284,19.3593,-100.4395,32000,0,1,271,403,VOI734,A21N,N537VL,MEX,GDL')
(1553203762.157646, ':', 'AITFC,0,20.3769,-98.0452,40000,0,1,248,358,H25B,H25B,,,')
