#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'O','011822','LS-8 18','CUBE3_0','IB0','Y','Y'
'O','013020','VSO-10','GGP3','GG3','Y','Y'
'O','013032','ASW-19','GGP4','GG4','Y','Y'
'O','014312','Skylane Airlony','OKUUO15','','Y','Y'
'O','014D71','Drone/UAV','METEO1','','Y','Y'
'O','01542C','Baloon','D-OVDS','DS','Y','Y'
'O','016027','PA-28','HA-BEC','HEC','Y','Y'
'O','01663C','Different Aircraft','FFVP003','F03','Y','Y'
'O','017B28','Cessna 172','HA-DOM','DOM','Y','Y'
'O','018A40','Gyrocopter','OMM-072','SZL','Y','Y'
'F','01CAFE','Cirrus Std','G-CJDS','75','Y','Y'
'I','0201E8','Phoebus','D-8147','','Y','Y'
'O','020827','VSO-10','GGP5','GG5','Y','Y'
'O','021338','LS-1 f','C3ZEL','IBI','Y','Y'
'O','022710','VT-116 Orlik II','OK-6922','22','Y','Y'
'O','023324','Drone/UAV','MET','','Y','Y'
'O','023753','A380','PK14','','Y','Y'
'O','024234','Twin Astir II','OK-3780','TW','Y','Y'
'O','024932','UFO','CC-TR23','T23','Y','Y'
'O','024B60','OldTimer','OM-OLD3','OB3','Y','Y'
'O','024F0A','Unknown','KEK EG','124','Y','Y'
'F','025226','Paraglider','51271','','Y','Y'
'F','02810A','Paraglider','P21549','','Y','Y'
'O','02AD34','VSO-10','OM-8517','72','Y','Y'
'O','030581','Paraglider','','','Y','Y'
'O','031C72','Paraglider','','','Y','Y'
'O','032536','ASW-19','GGP2','GG2','Y','Y'
'O','033042','Drone/UAV','METEO5','','Y','Y'
'O','033631','HangGlider','65-17','','Y','Y'
'O','033915','LAK-17 AT','D-KGPC','PC','Y','Y'
'O','03440C','Blanik','OK-2710','SG1','Y','Y'
'O','034819','DR-400','D-EBSK','ROB','Y','Y'
'O','034B28','Unknown','NIC','NIC','Y','Y'
'F','034E08','Ventus','N284BM','BM','Y','Y'
'O','034EE0','PW-5','N101GM','','Y','Y'
'O','034F00','PIK-20 D','C-GINY','GY','Y','Y'
'O','034F9C','PW-5','N101GM','','Y','Y'
'F','034FB0','Ventus 2cxT','G-CKFP','124','Y','Y'
'O','035E35','UFO','CC-TR4','TR4','Y','Y'
'O','036A01','Cessna 172','CC-KWG','WG','Y','Y'
'O','03885C','OldTimer','OK-5977','425','Y','Y'
'O','03A938','Z-226 trener','OM-MHG','G','Y','Y'
'O','03AF2A','Experimental','','201','Y','Y'
'F','03C119','IS-28B2','HA-5021','VA2','Y','Y'
'O','03D707','Twin Astir I','OM-5960','TW','Y','Y'
'O','03DB0E','HangGlider','20-53','XXX','Y','Y'
'F','03E773','Ventus cM','D-KKIL','GW','Y','Y'
'O','04000A','Paraglider','','','Y','Y'
'O','04008F','Paraglider','','','Y','Y'
'O','04009B','Paraglider','','','Y','Y'
'O','040311','Paraglider','FDGS','','Y','Y'
'O','040404','Paraglider','tomasz','713','Y','Y'
'O','041203','Paraglider','041203','','Y','Y'
'O','041337','Ground Station','GNDSt','','Y','Y'
'F','041464','Unknown','TTB','TTB','Y','Y'
'O','041A1D','Ground Station','041A1D','G-','Y','Y'
'O','041A1E','Parrot Bebop','041A1D','G-','Y','Y'
'O','042703','Paraglider','','','Y','Y'
'O','042773','ASK-13','OK-2302','ASK','Y','Y'
'O','042BE2','Paraglider','11234','112','Y','Y'
'O','045AF7','Paraglider','HoPe','bfd','Y','Y'
'O','046127','Cessna 172','D-EEVQ','EVQ','Y','Y'
'O','046213','Paraglider','Peak4','69','Y','Y'
'O','046215','A60 Fauconnet','','','Y','Y'
'O','046217','Paraglider','Peak4','NK','Y','Y'
'O','046758','Paraglider','Grich67','1','Y','Y'
'O','0477A1','Paraglider','0477A1','','Y','Y'
'O','048A30','HangGlider','1-238','','Y','Y'
'O','049E34','Gyrocopter','HA-GYH','HYH','Y','Y'
'F','04AAAC','A380','','','Y','Y'
'F','04AAAD','A380','','','Y','Y'
'F','04AD53','PIK-20 D','SE-UIS','51','Y','Y'
'O','04B729','Drone/UAV','METEO7','','Y','Y'
'O','04C001','HangGlider','04C001','C01','Y','Y'
'O','04C856','Cirrus Std','OK-4301','CV','Y','Y'
'O','04CAFE','Paraglider','tomasz','313','Y','Y'
'O','04CD05','Ground Station','viewAir','.eu','Y','Y'
'O','04CE39','Ground Station','viewAir','.eu','Y','Y'
'O','04DA05','Paraglider','','','Y','Y'
'O','04DEAD','Paraglider','tomasz','13','Y','Y'
'F','050891','LS-8 18','HB-3352','EY','Y','Y'
'O','051F77','Drone/UAV','PK-X010','P10','Y','Y'
'O','052889','Drone/UAV','PK-X009','P09','Y','Y'
'F','053685','HangGlider','053685','MK','Y','Y'
'O','053816','DV20 Katana','HADAS','DAS','Y','Y'
'F','053E7A','HK36 Super Dimona','D-KLSR','','Y','Y'
'O','054916','Cirrus 18m','OK-8774','2W','Y','Y'
'O','055A16','EuroFox','OM-FANX','F4N','Y','Y'
'O','05AF09','Ground Station','TEST-7','TST','Y','Y'
'O','05DAFF','PIK-20 D','SP-3866','AK','Y','Y'
'O','05DB23','Blanik','OK-6706','06','Y','Y'
'O','060577','Paraglider','ToddyS','','Y','Y'
'O','062024','EuroFox','foxCube','FOX','Y','Y'
'O','062323','VT-116 Orlik II','OK 6907','UO','Y','Y'
'O','062909','VSO-10','GGP6','GG6','Y','Y'
'O','063770','Cirrus Std','D-0705','','Y','Y'
'O','064D0E','SF-25','HA-1270','','Y','Y'
'O','065247','Unknown','KILY-1','Vin','Y','Y'
'O','066015','Z-226 trener','OK-MPB','226','Y','Y'
'O','066F73','TL-2000 Sting','OKSUA36','STI','Y','Y'
'F','06912D','WT9 Dynamic','D-MWON','','Y','Y'
'O','06B328','Maule M-7','','FMT','Y','Y'
'O','06CD5D','Ground Station','viewAir','.eu','Y','Y'
'F','06DDA6','DG-505','D-7282','VG','Y','Y'
'F','06DDDF','DG-808 B','HB-2322','JW','Y','Y'
'F','06DDE2','ASW-24','D-6246','TD','Y','Y'
'I','071308','Paraglider','','','Y','Y'
'O','071B14','Paraglider','19173','','Y','Y'
'O','071CA9','Paraglider','Jono','','Y','Y'
'O','071CE7','Paraglider','HOPPY','','Y','Y'
'I','071D23','Paraglider','','','Y','Y'
'O','072000','Cessna 182','CC-KWJ','WJ','Y','Y'
'O','072537','WT9 Dynamic','OKKUU61','U61','Y','Y'
'O','072921','Blanik','OK-0202','L23','Y','Y'
'O','073738','A380','PK22','','Y','Y'
'O','073B55','SZD-9 Bocian','LY-GQZ','QZ','Y','Y'
'O','07411F','Ultralight','LY-XMF','','Y','Y'
'O','074374','Paraglider','Bu','','Y','Y'
'O','074812','LS-1 f','CUBE3','IBI','Y','Y'
'O','0749AF','Paraglider','Lexrobe','312','Y','Y'
'O','074AD4','Paraglider','OE-66P1','214','Y','Y'
'O','074F25','Paraglider','KZO','','Y','Y'
'O','074F3D','VSO-10','OK-2500','F8','Y','Y'
'F','075090','Paraglider','FDA1','','Y','Y'
'F','075A6F','Paraglider','','','Y','Y'
'O','075A80','Paraglider','PG','JPP','Y','Y'
'O','07617D','Cessna 152','HA-SKV','HKV','Y','Y'
'F','0767B8','Paraglider','Thermik','','Y','Y'
'O','076F63','Different Aircraft','C-MSC1','MS1','Y','Y'
'O','078879','Paraglider','','','Y','Y'
'F','078A3C','Paraglider','','','Y','Y'
'O','078A88','HangGlider','CONRADO','C02','Y','Y'
